objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237666301628060000,47.3725449025,0.8206205532,18.69254,17.13867,16.55555,16.34662,16.17639,4849,301,5,771,8168632633242440000,STAR,0.0001146536,7255,56597,832
1237673706652430000,116.3030825467,42.4559803995,18.47633,17.30546,17.24116,17.3278,17.37114,6573,301,6,220,9333948945297330000,STAR,-9.275888E-005,8290,57364,868
1237671126974140000,172.7566227721,-8.7856978819,16.47714,15.31072,15.55971,15.72207,15.82471,5973,301,1,13,3221211255238850000,STAR,0.0001645807,2861,54583,42
1237665441518260000,201.2242073319,28.7712899639,18.63561,16.88346,16.09825,15.70987,15.43491,4649,301,3,121,2254061292459420000,GALAXY,0.05815516,2002,53471,35
1237665441522840000,212.8172220469,26.6252250584,18.88325,17.87948,17.47037,17.17441,17.05235,4649,301,3,191,2390305906828010000,GALAXY,0.07221049,2123,53793,74
1237668294987420000,178.3346587911,20.7517149953,15.4468,13.88656,13.06969,12.68676,12.42432,5313,301,6,125,2831738116518210000,GALAXY,0.02070051,2515,54180,363
1237668294985060000,172.597478318,20.5527222895,19.10002,17.10998,16.05751,15.6339,15.26723,5313,301,6,89,2812665437882440000,GALAXY,0.1309485,2498,54169,609
1237668294984930000,172.3090050594,20.5811348358,16.89111,16.29741,16.25994,16.86333,16.77033,5313,301,6,87,2814772926945980000,GALAXY,0.004702785,2500,54178,84
1237669517979620000,2.1171282015,7.6637614379,17.82389,16.75859,16.30879,16.13584,16.07477,5598,301,4,129,12733034184836400000,STAR,-0.0003552036,11309,58428,844
1237658423557820000,169.1297900485,7.1525751594,17.47752,16.23605,15.6156,15.29749,15.03419,3015,301,3,367,1820656067877560000,GALAXY,0.03754941,1617,53112,276
1237658423538550000,125.0393339432,3.6427826283,19.35331,18.05971,17.41365,17.00762,16.73926,3015,301,3,73,1333227711975420000,GALAXY,0.09393641,1184,52641,590
1237655501884360000,250.5117767548,40.0720805037,18.58878,16.88393,16.20003,15.93458,15.79324,2335,301,1,32,3858565991789340000,STAR,-5.854268E-005,3427,54979,389
1237657589785760000,182.092335052,54.5281671685,18.78891,17.56278,16.87035,16.49809,16.24674,2821,301,2,191,1146196936320120000,GALAXY,0.1351734,1018,52672,112
1237668332026990000,217.9400014595,14.6083781641,19.13548,18.55482,17.95603,17.68272,17.63717,5322,301,3,56,6154252554903770000,QSO,1.80268,5466,56033,304
1237650372095900000,187.6395036202,-1.2616665754,18.9509,18.72123,19.01488,19.28876,19.83932,1140,301,6,232,376207007851506000,STAR,8.065083E-005,334,51993,569
1237655124467520000,173.3775632849,4.1924021037,18.49893,16.50981,15.5097,15.08019,14.70098,2247,301,2,84,942403829998053000,GALAXY,0.09967747,837,52642,93
1237655124472960000,185.7986987076,4.3011068279,18.75037,17.75673,17.35122,17.02511,16.84976,2247,301,2,167,3242656128785480000,GALAXY,0.09403414,2880,54509,234
1237678596461100000,317.1320117933,1.2372625804,16.83018,15.67812,15.49034,15.42468,15.45766,7712,301,2,43,2159629732432340000,STAR,-0.0009819377,1918,53240,559
1237668271363060000,205.9363623051,18.281738428,17.95391,16.57247,16.04581,15.87287,15.81172,5308,301,2,94,3270826992269810000,STAR,3.581189E-005,2905,54580,319
1237667485920200000,140.5428290587,18.2501204034,18.86363,17.08016,16.07793,15.60013,15.20973,5125,301,3,83,2746241185394750000,GALAXY,0.1222381,2439,53795,623
1237663788486750000,110.4502705932,41.2277370262,19.15152,17.88192,17.81419,17.83793,17.92105,4264,301,4,30,3608653593667800000,STAR,-5.458151E-005,3205,54848,525
1237663788497700000,132.0177884747,62.8345354488,18.30466,16.27299,15.33813,14.92293,14.69998,4264,301,4,197,3697552133420330000,STAR,-0.0001126887,3284,54907,352
1237670457503510000,39.0897204445,25.5315387884,17.47087,15.98498,15.29588,15.00965,14.85811,5817,301,2,126,2678531059779400000,STAR,-0.0002094423,2379,53762,55
1237664092899120000,129.9482207692,25.213328469,19.54955,18.19434,17.8322,17.51329,17.47054,4335,301,3,130,2173034979993350000,GALAXY,0.07081252,1930,53347,175
1237651538716520000,209.0818592198,65.5123601557,18.81018,18.13761,17.90556,17.89494,17.74499,1412,301,3,234,7865621524291800000,QSO,2.278729,6986,56717,308
1237672025705810000,328.7181273335,45.700967534,17.60107,15.76805,15.04603,14.77749,14.60021,6182,301,3,162,2877893962364910000,STAR,-0.0001472734,2556,54000,341
1237667536935390000,154.4843615186,21.0813038274,19.13669,17.43355,17.09256,16.9169,16.58885,5137,301,2,273,2672986222690850000,GALAXY,0.01901987,2374,53765,363
1237667536938530000,161.9718022636,22.5189331008,19.45875,17.71139,16.9425,16.57785,16.30282,5137,301,2,321,2793439651044550000,GALAXY,0.04548405,2481,54086,298
1237664874046360000,130.8509872599,23.4985539635,17.74881,16.69524,16.19307,16.00481,15.92386,4517,301,2,131,3797811376630640000,STAR,0.0002035977,3373,54940,549
1237651755077600000,165.2376278911,3.3362410091,19.58975,18.5976,18.20867,18.11177,18.05206,1462,301,6,266,3650316838711170000,STAR,0.0003418439,3242,54889,543
1237670965926490000,149.3908913305,16.9804443096,19.28301,19.26538,19.0814,18.98997,18.97943,5935,301,5,221,10790893393523500000,QSO,1.225059,9584,57786,977
1237657589785560000,181.3354215015,54.5222151938,18.76588,16.76009,15.7904,15.36123,14.99914,2821,301,2,188,1145048496995330000,GALAXY,0.1051616,1017,52706,30
1237657589783000000,171.452515729,53.7421276778,18.86527,17.3416,16.52945,16.12555,15.79641,2821,301,2,149,1140564413716130000,GALAXY,0.08573919,1013,52707,101
1237663230680830000,280.9990007711,79.1704358281,18.12315,16.92512,16.41964,16.22689,16.11032,4134,301,5,75,3154929391469880000,STAR,-0.0004681775,2802,54326,574
1237663230681870000,293.2761898399,78.6971886422,18.72582,17.54478,17.06506,16.88649,16.7968,4134,301,5,91,2090948462752330000,STAR,-1.507582E-005,1857,53182,554
1237667209971500000,133.2868894571,18.437896678,18.76147,16.80314,15.84066,15.4052,15.05621,5061,301,1,128,2570515586668850000,GALAXY,0.07661986,2283,53729,313
1237652933495230000,314.8696780808,-7.5547495407,18.74595,16.78186,15.80089,15.30923,14.99064,1737,301,1,52,717281565138250000,GALAXY,0.07839075,637,52174,303
1237652933497450000,320.023740304,-8.3305008865,19.14947,17.46092,16.66344,16.25123,16.03353,1737,301,1,86,719463270615902000,GALAXY,0.111841,639,52146,48
1237650371016200000,174.0667051744,-2.2105219621,18.38265,17.33259,16.79356,16.4728,16.28402,1140,301,4,141,368312244536109000,GALAXY,0.1106497,327,52294,520
1237655108359360000,123.5116487955,39.7296621839,19.16617,17.57986,16.80475,16.35483,16.0194,2243,301,4,53,854701278498941000,GALAXY,0.06102166,759,52254,521
1237678858464200000,342.6976340599,11.1076149436,19.55744,17.46571,16.44621,15.97754,15.57301,7773,301,2,197,5685812775768840000,GALAXY,0.0820672,5050,56215,66
1237678858474750000,7.273359183,12.007942929,19.51252,17.58586,16.59778,16.18047,15.75792,7773,301,2,358,6969348015334380000,GALAXY,0.09274676,6190,56210,100
1237673705578170000,115.0240662279,41.2136208308,19.57347,18.13207,17.58797,17.38987,17.27197,6573,301,4,212,3559035381527720000,STAR,-2.638719E-005,3161,54779,239
1237660765372880000,126.0814494685,28.0214787891,17.58253,16.67007,16.32687,15.9877,15.86355,3560,301,5,125,1426633428660410000,GALAXY,0.07662526,1267,52932,430
1237662337328220000,238.9962013596,33.3518281223,19.49991,17.88527,17.08528,16.60061,16.28959,3926,301,5,84,1579641196853090000,GALAXY,0.1051556,1403,53227,13
1237663782589560000,6.313076204,-1.111753073,16.41606,14.78892,14.01136,13.62993,13.36142,4263,301,1,158,440295612949228000,GALAXY,0.03790227,391,51782,250
1237661968501380000,177.2199073419,43.1314278829,19.25859,19.71247,20.18405,20.6573,20.80943,3840,301,6,137,1629266003110160000,GALAXY,0.2803976,1447,53120,323
1237652944785050000,357.8436043838,15.993264184,18.69743,18.5462,18.33331,18.29574,18.3792,1739,301,6,289,843402146786339000,QSO,1.176501,749,52226,375
1237662701331610000,254.0887254877,43.7857702998,19.48053,17.4682,16.5133,16.10528,15.74229,4011,301,3,159,6784840066256880000,GALAXY,0.09982331,6026,56071,608
1237661362373070000,206.6146641311,45.9242790465,18.95918,17.09173,16.25019,15.83413,15.55686,3699,301,5,121,1649585252231830000,GALAXY,0.06445618,1465,53082,516
1237679457071920000,358.3673958778,17.8936825497,19.07691,18.05287,17.7268,17.62744,17.58059,7912,301,5,146,8555726428045590000,STAR,-0.0007185919,7599,56955,47
1237670961086200000,36.915263764,24.0863717665,18.78726,17.12819,16.40216,16.11632,15.97406,5934,301,4,92,3649159052883240000,STAR,-1.305648E-005,3241,54884,427
1237657632187740000,141.5381698323,47.2625657216,19.58769,18.23858,17.20858,16.76464,16.45247,2831,301,1,26,938017872611928000,GALAXY,0.1589469,833,52314,521
1237667536937350000,159.1059569687,22.0518786075,19.50278,18.36922,17.84993,17.46337,17.31818,5137,301,2,303,2665023284571040000,GALAXY,0.0637403,2367,53763,66
1237667536939250000,163.7481611317,22.7517697736,19.57074,17.71785,16.85721,16.50406,16.20903,5137,301,2,332,2793366808399210000,GALAXY,0.07775977,2481,54086,33
1237662224601780000,177.3866071455,39.3489083033,19.09515,18.14658,17.84937,17.76287,17.75295,3900,301,3,335,2218058057659740000,STAR,-0.0001464845,1970,53386,128
1237663918416790000,125.0899933749,59.5121717783,19.10489,17.75827,17.06874,16.64225,16.35363,4294,301,6,141,2108922750142800000,GALAXY,0.07853939,1873,54437,408
1237665441527820000,224.964657798,23.6039821964,19.30477,18.07525,17.56482,17.22213,17.03471,4649,301,3,267,2419572444470730000,GALAXY,0.09134264,2149,54509,49
1237665441523040000,213.4388000577,26.550882479,18.3357,16.52953,15.71124,15.32506,15.01625,4649,301,3,194,6766858103776630000,GALAXY,0.06440192,6010,56097,726
1237668758847880000,302.5615480618,-10.6342397802,16.58868,16.5892,16.9045,17.17786,17.32848,5421,301,6,186,2593115513521470000,STAR,0.0002330829,2303,54629,611
1237658423554870000,162.3892709115,6.7466334135,19.38624,18.29574,17.78675,17.47678,17.27329,3015,301,3,322,1127070106887680000,GALAXY,0.1175207,1001,52670,161
1237662341087630000,242.8951080027,26.3541300539,18.45179,16.53581,15.60624,15.17542,14.84507,3927,301,4,104,1568420399052520000,GALAXY,0.07519736,1393,52824,152
1237662341093390000,254.3174856126,18.4526309164,19.01066,17.92526,17.26291,16.91928,16.64811,3927,301,4,192,1764330836972300000,GALAXY,0.03282385,1567,53172,166
1237670965385300000,139.5740954287,14.4008871821,19.29302,17.91843,17.22045,16.82889,16.57793,5935,301,4,155,2747278575001430000,GALAXY,0.07942434,2440,53818,301
1237663234978150000,351.9566286529,53.2345298185,17.21843,15.52887,15.2016,15.08204,15.02216,4135,301,5,111,1871385332977530000,STAR,-0.0002218185,1662,52970,508
1237652948528790000,7.270340907,-9.2843583683,19.46794,18.12656,17.43603,17.04602,16.81404,1740,301,5,70,735381450190252000,GALAXY,0.08583027,653,52145,614
1237657608571520000,123.4352358849,37.4084650804,17.0546,15.58986,15.0444,14.8733,14.79895,2825,301,5,119,3006228686610390000,STAR,-0.0001041385,2670,54115,276
1237657608571850000,123.9209270069,38.0572291422,19.51988,18.10638,17.56377,17.35304,17.236,2825,301,5,124,3006272941953410000,STAR,-3.493226E-006,2670,54115,437
1237657608577350000,136.4875976389,46.6837057567,17.50212,16.02096,15.37915,15.2255,15.08105,2825,301,5,208,1011204944868440000,STAR,-3.680885E-005,898,52606,534
